Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0x9aca944caa1cad2343c991963970a0e352da516d2d30b40e37ae41da39c3d212,Success,ERC-20,Transfer,Transfer,22577270,8 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"26,426.49","$1,361.15",Ultra Token(UOS),0.00008781
0xfc36bebf41ee1a50c1f5d8f95bbca1709761cf99bf0626cdf10a7849fc3e289a,Success,ERC-20,Transfer,Transfer,22576097,8 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"65,053.30","$3,350.70",Ultra Token(UOS),0.00018887
0x3c6b522e0c55e2280c313ce0d27e531f4b66286abb8809ef7eb2e1a5355a5917,Success,ERC-20,Transfer,Transfer,22573307,9 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"1,000,000","$51,507.00",Ultra Token(UOS),0.0000687
0x80fd1b8c4a2a264491ef5d658721cc55dbc01b398713c98a7705a3e487f38cb9,Success,ERC-20,Transfer,Transfer,22573187,9 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0.001,$0.00,Ultra Token(UOS),0.00006959
0xdda1ca3dff36924d320aa781d8ecc1b6715976083ec770f0a201c419a97083c9,Success,ERC-20,Transfer,Transfer,22567744,9 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"67,394.02","$3,471.26",Ultra Token(UOS),0.00010127
0x2749a4ca137198ac8a9fa99d33293df032b8b0df8a11ef4999cf5cc74b1330bf,Success,ERC-20,Transfer,Transfer,22566540,10 days ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"25,146.11","$1,295.20",Ultra Token(UOS),0.00005878
0x6a0afd8027f39ce916f39d26281fa4d6daf1f342f5157ce6a1f69cc986fdb60f,Success,ERC-20,Transfer,Transfer,22562990,10 days ago,0x22913eD9413Ec338E15673004B03EfFB9efEa731, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"32,583.37","$1,678.27",Ultra Token(UOS),0.00004748
0x07939c4cf6dda8a3bd442643e51e9adf1c3cd182137ffe40d492b1c788515606,Success,ERC-20,Transfer,Transfer,22555848,11 days ago,0xdd83e1460fb4f50eab1fe50513374b3649c42f1a, Bithumb Treasury Routing Wallet #2,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"15,462.35",$796.42,Ultra Token(UOS),0.0000522
0xdeca780b4e7bdb55de43bf50684b8efe60e006854436022f812db3cc5c0e134d,Success,ERC-20,Transfer,Transfer,22555842,11 days ago,0xb4669b10d923c2d141f2eccf382bbe06ceedf82b, Bithumb Treasury Routing Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"283,409.47","$14,597.57",Ultra Token(UOS),0.00004669
0xb9b5ce02da96ed0709eb7c2ff37288b67a4779a2a7d1b3403685acf4335c6b26,Success,ERC-20,Transfer,Transfer,22554674,11 days ago,0xFCf4d66E2f827a364bf128BA102FbcEc237d8003, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"40,537.59","$2,087.97",Ultra Token(UOS),0.00004777
0xde49a5fb9ff57b5bce8aeb1fd9daa9209a783239e12d3d5cde1b3b9565e7872c,Success,ERC-20,Transfer,Transfer,22554664,11 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"39,623.27","$2,040.88",Ultra Token(UOS),0.00004925
0x8ac52a9dacbd7e1189a8303d04b0db2cc4e107479d15ac64a2731f5e34c30a03,Success,ERC-20,Transfer,Transfer,22554664,11 days ago,0x6Edd04575c5A298c600AbB02c0240f805C637AF9, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"47,141.23","$2,428.10",Ultra Token(UOS),0.00004925
0xf0b9aa2ac36dfc4105006bbda99e66f8b834be799cd5039335dea8fefd027669,Success,ERC-20,Transfer,Transfer,22554664,11 days ago,0x9f13CC0e89F09B08542834E02403F50a325867Fe, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"54,198.65","$2,791.61",Ultra Token(UOS),0.00004925
0x9110e4ef526f389c3b75b6efe23cbcee56b8994afa11c8d6843a1341550bc366,Success,ERC-20,Transfer,Transfer,22554664,11 days ago,0xb7ed1677BFCDDe6e06C84be533745e3D3830B1F3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),730.31,$37.62,Ultra Token(UOS),0.00004923
0xbd3b37063add899016ea4f8125cba535aa12ea903effae6396883acb827aefd1,Success,ERC-20,Transfer,Transfer,22554662,11 days ago,0x5a67d66aF2E0D21A262dB565a802cFB0c80394bE, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"10,886.86",$560.75,Ultra Token(UOS),0.00004874
0xf36a33a0dc3705f3024518b5fe815aed39254e42c2c36b965cd022e3ea08e4b1,Success,ERC-20,Transfer,Transfer,22554661,11 days ago,0x5bc838154d7FF270127c1e1b9c53e9111033Fa0B, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"24,931.71","$1,284.16",Ultra Token(UOS),0.00004971
0x3f2a80f89f3c9c8ca20a4239383f0db3df7b5be5c1d2d141f460ce5516569d6e,Success,ERC-20,Transfer,Transfer,22554660,11 days ago,0x9f9e47667B5C69321d89C926D51FEe72Bc872534, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"34,620.40","$1,783.19",Ultra Token(UOS),0.00004935
0xf6150c32cb86db5f72198381e18928376f14292d63ae4d02b7301ecc458b86a5,Success,ERC-20,Transfer,Transfer,22553478,11 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"81,384.78","$4,191.89",Ultra Token(UOS),0.00006436
